Food_group,Item,Final Call,Rationale
Milk & Milk products,Tofu,Avoid,Decrease Lactobacillus 
Milk & Milk products,Paneer,Avoid,Decrease Lactobacillus 
Milk & Milk products,Coconut milk,Avoid,Decrease Lactobacillus 
Milk & Milk products,Almond milk,Avoid,Decrease Lactobacillus 
Milk & Milk products,Oats milk,Avoid,Decrease Lactobacillus 
Milk & Milk products,Tea,Avoid,Decrease Lactobacillus 
Milk & Milk products,Coffee,Avoid,Decrease Lactobacillus 
Milk & Milk products,Skim milk,Avoid,Decrease Lactobacillus 
Milk & Milk products,Curd,Avoid,Decrease Lactobacillus 
Milk & Milk products,Yoghurt,Avoid,Decrease Lactobacillus 
