#OTU ID,IOM032FX101024,Optimal_Abundance,Change_Diff,Energy,Sleep,Stress
Parabacteroides,0.03,1.14,1.11,0,0,1
Romboutsia,0.03,0.15,0.12,,,
Incertae_Sedis,0.03,0.15,0.12,,,
Granulicatella,0.02,0.15,0.13,,,
Marvinbryantia,0.02,0.05,0.03,-1,0,0
Alloprevotella,0.02,0.13,0.11,0,0,-1
Clostridium_sensu_stricto_1,0.02,0.15,0.13,,,
Gastranaerophilales,0.02,0.17,0.15,,,
[Eubacterium]_fissicatena_group,0.01,0.15,0.14,,,
Lactonifactor,0.01,0.05,0.04,-1,0,0
Allobaculum,0.01,0.15,0.14,,,
Odoribacter,0.01,1.14,1.13,1,0,0
[Clostridium]_innocuum_group,0.01,0.15,0.14,,,
Syntrophococcus,0.01,0.45,0.44,1,0,0
Erysipelatoclostridium,0.01,0.01,0,,,
Eisenbergiella,0.01,0.05,0.04,0,0,-1
Akkermansia,0.01,0.51,0.5,1,0,0
Coprobacillus,0.01,0.05,0.04,-4,0,0
NK4A214_group,0.01,0.15,0.14,,,
Lachnospira,0.01,0.15,0.14,,,
Alistipes,0.01,0.04,0.03,-1,0,-3
Prevotellaceae_UCG-003,0.01,0.38,0.37,,,
Catenibacterium,0.01,0.15,0.14,,,
Muribaculaceae,0.01,0.38,0.37,,,
[Eubacterium]_coprostanoligenes_group,0.01,0.15,0.14,,,
Megamonas,0.01,0.45,0.44,0,1,0
Colidextribacter,0.01,0.15,0.14,,,
Rikenellaceae_RC9_gut_group,0.01,0.38,0.37,,,
Intestinibacter,0.01,0.45,0.44,0,2,0
Clostridia_UCG-014,0.01,0.15,0.14,,,
Succinivibrio,0.01,0.06,0.05,0,-1,0
Holdemanella,0.01,0.15,0.14,,,
UCG-005,0.01,0.15,0.14,,,
Enterorhabdus,0.01,0.17,0.16,,,
Aggregatibacter,,,,1,0,0
Anaerotruncus,,,,-1,0,-2
Asaccharobacter,,,,1,0,0
Atopobium,,,,1,0,0
Barnesiella,,,,0,1,-2
Bilophila,,,,0,0,0
Brevibacterium,,,,0,1,0
Christensenellaceae_R7_group,,,,0,0,4
Citrobacter,,,,0,-1,0
Clostridium,,,,-1,0,1
Clostridium_XI,,,,0,2,2
Corynebacterium,,,,0,1,0
Cosenzaea,,,,-2,0,0
Dermabacter,,,,0,1,0
Desulfovibrio,,,,0,-1,0
Erysipelotricheaceae_UCG-003,,,,0,1,0
Escherichia,,,,0,0,-1
Faecalitalea,,,,0,0,-1
Flavonifractor,,,,0,-1,-1
Gemella,,,,1,0,0
Gemmiger,,,,0,1,0
Helicobacter,,,,0,-1,0
Holdemania,,,,0,1,-1
Hungatella,,,,-1,0,-1
Intestinimonas,,,,0,0,-1
Lactococcus,,,,-1,1,0
Neisseria,,,,0,1,0
Oribacterium,,,,0,1,0
Oscillibacter,,,,0,-2,-1
Oscillospira,,,,-1,0,0
Oxalobacter,,,,0,-1,0
Paraprevotella,,,,0,0,-1
Parasutterella,,,,0,-1,0
Peptoclostridium,,,,-1,0,0
Peptococcus,,,,1,0,-1
Phascolarctobacterium,,,,-1,0,0
Phocea,,,,0,1,0
Prevotella_9,,,,0,1,0
Pseudoalteromonas,,,,0,-1,0
Pseudobutyrivibrio,,,,0,-1,-1
Pseudoflavonifractor,,,,-2,0,0
Pseudomonas,,,,-1,0,0
Ruminiclostridium_5,,,,0,1,0
Sellimonas,,,,-1,0,0
Solobacterium,,,,-1,0,0
Suturella,,,,1,0,0
Turicibacter,,,,1,0,0
Tyzzerella,,,,0,0,-1
